sentence,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z,pca_2d_x,pca_2d_y
[[ ## explanation ## ]],1.3095553,-1.4853833,-35.180313,-61.438843,117.94863,-0.10137696,0.17179866
{explanation},2.480439,-4.138,33.971283,3.8242528,-21.774426,-0.050167996,0.2110742
[[ ## sql_query ## ]],-0.03805842,-2.389379,10.213642,97.99226,-60.856155,-0.17390099,0.05747122
{sql_query},0.2978041,-3.7335033,85.22406,53.960354,52.410942,-0.12305764,0.11693481
[[ ## insufficient_context ## ]],-2.3236399,-2.6839526,72.78164,131.98183,-29.676197,-0.107266374,0.061467152
{insufficient_context}        # note: the value you produce must be True or False,-2.0834017,-2.390487,31.75248,61.12306,-114.1317,-0.119352415,0.018101217
[[ ## clarification_questions ## ]],0.0020672306,-1.1396378,31.504868,98.58058,-10.063467,-0.10839602,0.119738474
"{clarification_questions}        # note: the value you produce must adhere to the JSON schema: {""typ...",-1.2532654,-1.526413,5.542643,44.565742,-75.891785,-0.14754097,0.012866645
[[ ## completed ## ]],1.151599,-2.4689705,25.619663,60.36679,59.919888,-0.08416186,0.11868847
"In adhering to this structure, your objective is:",-2.6005502,-6.430951,-9.456301,-24.961042,3.4483912,-0.05297056,-0.022434473
Generate valid DuckDB SQL from user questions.,-0.6963252,2.4551547,131.7538,26.675138,16.404709,-0.1837873,-0.20412263
Explanations in German.,-0.34921864,-8.419338,-21.48429,127.82292,25.174639,0.004515272,-0.0025079467
Follow guidelines strictly.,-0.35768414,-6.255499,31.433252,-15.671256,-127.24116,0.0026107612,-0.024797276
Guidelines:,-0.20268005,-6.04122,60.224136,51.449898,-64.01177,-0.009903864,0.084905535
1.,2.888985,-7.8096848,33.3239,-61.603073,103.008606,0.27058086,0.016607663
"If the context contains all necessary information, generate a syntactically correct DuckDB SQL query...",-0.8822696,2.5678184,99.68997,81.23414,3.5484533,-0.19821037,-0.2582255
2.,5.570096,-9.850077,-5.429105,-95.83422,20.764135,0.34074032,-0.046403605
"If the context is insufficient, clearly explain what is missing and do not guess or fabricate.",-3.9282734,-3.480431,-32.559544,3.7725883,115.32306,-0.111449294,-0.10932231
3.,4.410393,-8.400669,96.208664,-63.516464,53.53673,0.36098164,-0.032732803
"If the exact question is already part of the examples, return the exact same SQL output as before.",-1.2191063,1.1148374,3.764204,-7.6107225,-65.24107,-0.18118332,-0.13840793
4.,3.8233905,-9.735879,35.539673,-49.871147,34.919533,0.34769213,-0.040820792
"Use table and column names exactly as provided, matching case and spelling.",-3.3964381,1.1754603,-81.883415,54.883728,-59.819923,-0.12040099,-0.14047655
5.,6.0872855,-8.041083,55.73678,-4.781419,87.96056,0.31693044,-0.04615823
Qualify column names with table names when multiple tables are involved (especially joins).,-3.650103,1.8519295,-42.599724,68.542404,-45.61431,-0.14057238,-0.16723803
6.,5.643071,-7.0860853,68.3378,-53.33344,-13.384884,0.29765192,-0.025582945
"For partial string matches, use LIKE '%term%'.",-2.6991332,0.14167652,118.77435,3.5058389,-52.404835,-0.10321883,-0.07708412
Use ILIKE for case-insensitive matches if appropriate.,-3.006275,0.31706634,104.535,37.44473,-34.53499,-0.13637911,-0.13736385
7.,4.8685884,-7.2560263,67.37977,-98.948685,15.3005,0.32021818,-0.028736698
Format the SQL with standard indentation and line breaks for readability.,-2.2106671,1.9770406,-96.64288,91.72304,-20.025553,-0.18506649,-0.17551124
